sample	sample_status	DEPDC2	GM01	GM07	GM09	GM11	GM14	GM17	GM22	GM26	GM29	IM16	IM49	LR10	LR11	LR17	LR20	LR24	LR36	LR40	LR44	LR46	LR48	LR49	LR52
ERR2760913	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760914	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760915	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760916	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760917	MSI	MSS	MSS	MSI	MSS	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760918	MSI	MSS	MSS	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760919	MSI	MSS	MSS	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760920	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760921	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760922	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760923	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760924	MSI	MSI	MSI	MSI	MSS	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760925	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760926	MSI	MSS	MSS	MSI	Undetermined	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760927	MSI	Undetermined	MSS	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760928	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760929	MSI	MSI	MSS	MSI	Undetermined	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760930	MSI	MSS	Undetermined	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760931	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760932	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760933	MSI	MSI	MSS	MSI	MSI	Undetermined	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760934	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760935	MSI	MSS	MSI	MSI	MSS	MSS	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760936	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760937	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2760938	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2760939	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2760940	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760941	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760942	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760943	MSI	MSI	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760944	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2760945	MSI	Undetermined	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760946	MSI	MSI	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760947	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760948	MSI	MSS	MSI	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760949	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760950	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760951	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760952	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2760953	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760954	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2760955	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2762825	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2762907	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2762915	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2762923	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2762931	MSI	MSS	MSS	MSI	MSS	Undetermined	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	Undetermined	MSI	MSI	MSI	MSI	MSI
ERR2762937	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI
ERR2762943	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2762949	MSS	MSS	MSS	MSS	MSS	MSI	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2762955	MSS	MSS	MSS	MSS	MSS	MSS	MSS	Undetermined	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2762961	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763039	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763040	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763041	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSI	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763042	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSI	MSS
ERR2763043	MSI	MSS	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763044	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763045	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSI	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763046	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763047	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763048	MSI	MSI	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763049	MSI	MSI	Undetermined	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763050	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSS	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763051	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763052	MSI	MSI	MSS	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSS	MSI	MSI	MSI	MSI	MSI	MSI	MSI	MSI
ERR2763053	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSI	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763054	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763055	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763056	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
ERR2763057	MSS	MSI	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS	MSS
